,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
28,daily_limit_activity_skew,0.009960159362549782,weather_patient_active,0.7,0,5,2,3
0,rcp3_max,0.0095617529880478,weather_patient_active,0.7,0,5,2,3
34,daily_prev_inhaler_mean,0.007968127490039834,weather_patient_active,0.7,0,5,2,3
5,rcp3_gradient,0.007171314741035839,weather_patient_active,0.7,0,5,2,3
24,daily_limit_activity_max,0.005577689243027884,weather_patient_active,0.7,0,5,2,3
21,daily_night_symp_gradient,0.003585657370517892,weather_patient_active,0.7,0,5,2,3
32,daily_prev_inhaler_max,0.0011952191235059307,weather_patient_active,0.7,0,5,2,3
37,daily_prev_inhaler_gradient,0.0003984063745019695,weather_patient_active,0.7,0,5,2,3
17,daily_night_symp_min,0.0,weather_patient_active,0.7,0,5,2,3
38,daily_prev_inhaler_median,0.0,weather_patient_active,0.7,0,5,2,3
31,daily_limit_activity_latest,0.0,weather_patient_active,0.7,0,5,2,3
30,daily_limit_activity_median,0.0,weather_patient_active,0.7,0,5,2,3
25,daily_limit_activity_min,0.0,weather_patient_active,0.7,0,5,2,3
23,daily_night_symp_latest,0.0,weather_patient_active,0.7,0,5,2,3
22,daily_night_symp_median,0.0,weather_patient_active,0.7,0,5,2,3
39,daily_prev_inhaler_latest,0.0,weather_patient_active,0.7,0,5,2,3
9,daily_day_symp_min,0.0,weather_patient_active,0.7,0,5,2,3
14,daily_day_symp_median,0.0,weather_patient_active,0.7,0,5,2,3
7,rcp3_latest,0.0,weather_patient_active,0.7,0,5,2,3
8,daily_day_symp_max,0.0,weather_patient_active,0.7,0,5,2,3
11,daily_day_symp_range,0.0,weather_patient_active,0.7,0,5,2,3
15,daily_day_symp_latest,0.0,weather_patient_active,0.7,0,5,2,3
4,rcp3_skew,-3.3306690738754695e-17,weather_patient_active,0.7,0,5,2,3
33,daily_prev_inhaler_min,-4.4408920985006264e-17,weather_patient_active,0.7,0,5,2,3
2,rcp3_mean,-6.661338147750939e-17,weather_patient_active,0.7,0,5,2,3
6,rcp3_median,-0.0003984063745020139,weather_patient_active,0.7,0,5,2,3
29,daily_limit_activity_gradient,-0.0003984063745020472,weather_patient_active,0.7,0,5,2,3
36,daily_prev_inhaler_skew,-0.0007968127490040056,weather_patient_active,0.7,0,5,2,3
12,daily_day_symp_skew,-0.0007968127490040166,weather_patient_active,0.7,0,5,2,3
13,daily_day_symp_gradient,-0.001992031872510025,weather_patient_active,0.7,0,5,2,3
35,daily_prev_inhaler_range,-0.001992031872510025,weather_patient_active,0.7,0,5,2,3
18,daily_night_symp_mean,-0.0023904382470120054,weather_patient_active,0.7,0,5,2,3
10,daily_day_symp_mean,-0.005179282868525969,weather_patient_active,0.7,0,5,2,3
20,daily_night_symp_skew,-0.005577689243027972,weather_patient_active,0.7,0,5,2,3
16,daily_night_symp_max,-0.006772908366533969,weather_patient_active,0.7,0,5,2,3
27,daily_limit_activity_range,-0.008366533864541914,weather_patient_active,0.7,0,5,2,3
19,daily_night_symp_range,-0.009960159362549893,weather_patient_active,0.7,0,5,2,3
3,rcp3_range,-0.012350597609561854,weather_patient_active,0.7,0,5,2,3
1,rcp3_min,-0.017928286852589737,weather_patient_active,0.7,0,5,2,3
43,temperature_min_min,0.03316831683168309,nonweather_patient_passive,0.7,0,5,2,3
35,temperature_max_min,0.013861386138613808,nonweather_patient_passive,0.7,0,5,2,3
37,temperature_max_range,0.010891089108910856,nonweather_patient_passive,0.7,0,5,2,3
66,aqi_max,0.009900990099009887,nonweather_patient_passive,0.7,0,5,2,3
71,aqi_gradient,0.009900990099009877,nonweather_patient_passive,0.7,0,5,2,3
58,wind_speed_max,0.009405940594059381,nonweather_patient_passive,0.7,0,5,2,3
41,temperature_max_latest,0.008910891089108896,nonweather_patient_passive,0.7,0,5,2,3
42,temperature_min_max,0.008910891089108896,nonweather_patient_passive,0.7,0,5,2,3
46,temperature_min_skew,0.00544554455445545,nonweather_patient_passive,0.7,0,5,2,3
20,weed_pollen_skew,0.005445544554455439,nonweather_patient_passive,0.7,0,5,2,3
59,wind_speed_min,0.004950495049504922,nonweather_patient_passive,0.7,0,5,2,3
51,humidity_min,0.003960396039603964,nonweather_patient_passive,0.7,0,5,2,3
52,humidity_mean,0.003960396039603953,nonweather_patient_passive,0.7,0,5,2,3
40,temperature_max_median,0.003960396039603953,nonweather_patient_passive,0.7,0,5,2,3
65,wind_speed_latest,0.0034653465346534684,nonweather_patient_passive,0.7,0,5,2,3
68,aqi_mean,0.0034653465346534684,nonweather_patient_passive,0.7,0,5,2,3
47,temperature_min_gradient,0.003465346534653457,nonweather_patient_passive,0.7,0,5,2,3
45,temperature_min_range,0.0029702970297029617,nonweather_patient_passive,0.7,0,5,2,3
39,temperature_max_gradient,0.0024752475247524774,nonweather_patient_passive,0.7,0,5,2,3
61,wind_speed_range,0.001980198019801982,nonweather_patient_passive,0.7,0,5,2,3
50,humidity_max,0.001980198019801982,nonweather_patient_passive,0.7,0,5,2,3
70,aqi_skew,0.0019801980198019707,nonweather_patient_passive,0.7,0,5,2,3
54,humidity_skew,0.0019801980198019707,nonweather_patient_passive,0.7,0,5,2,3
48,temperature_min_median,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
29,temperature_range,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
30,temperature_skew,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
22,weed_pollen_median,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
32,temperature_median,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
33,temperature_latest,0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
18,weed_pollen_mean,0.0004950495049504955,nonweather_patient_passive,0.7,0,5,2,3
69,aqi_range,0.0004950495049504955,nonweather_patient_passive,0.7,0,5,2,3
